-26,-32,-39,-11,-28,-18,-9,-17,11,-6,-4,-23,-23,5,-29,-4,-34,-19,-39,15,-24,34,50,18,25,-21,9,-28,-31,23
-39,-35,-39,-5,-39,-25,-9,-25,-2,-13,-14,-34,-43,-5,-40,-7,-28,-19,-43,9,-31,27,54,24,29,-17,5,-24,-31,12
-36,-42,-43,-11,-39,-11,2,-18,1,-20,-7,-30,-50,-2,-43,3,-47,-29,-43,22,-28,27,54,1,15,-31,-5,-35,-31,16
-36,-39,-49,-8,-39,-8,-1,-25,-10,-44,-17,-44,-57,-2,-46,0,-44,-29,-43,22,-31,27,46,-15,11,-35,-7,-38,-38,5
-39,-39,-49,2,-35,-1,2,-31,-27,-51,-24,-51,-60,-2,-57,0,-47,-29,-46,19,-35,31,50,-21,-6,-35,-14,-42,-48,9
-39,-42,-46,2,-31,-1,10,-31,-23,-51,-24,-58,-63,-2,-60,3,-51,-35,-43,32,-24,34,46,-3,0,-45,-12,-49,-47,9
-39,-39,-56,-5,-35,3,13,-28,-23,-61,-27,-62,-70,-2,-57,0,-51,-35,-49,25,-35,31,43,-16,-7,-52,-21,-52,-54,5
-43,-39,-46,2,-31,6,17,-28,-21,-58,-27,-58,-76,-5,-60,0,-54,-39,-53,32,-35,34,46,-19,-13,-62,-17,-52,-54,-5
-46,-39,-53,15,-28,10,17,-12,-17,-58,-31,-69,-76,-2,-63,0,-54,-32,-53,25,-39,38,54,-19,-16,-62,-17,-49,-58,9
-46,-42,-56,5,-42,-4,2,-44,-20,-61,-31,-69,-73,-5,-67,0,-54,-35,-56,29,-35,34,46,-19,-6,-73,-24,-59,-63,-2
-49,-39,-56,-1,-35,3,13,-35,-27,-68,-37,-76,-85,-5,-70,3,-61,-42,-53,29,-39,31,39,-26,-17,-59,-24,-63,-74,-5
-53,-39,-59,-1,-39,6,13,-41,-34,-65,-31,-72,-85,-9,-74,3,-61,-35,-59,19,-42,34,43,-26,-27,-62,-27,-63,-67,-5
-46,-39,-53,12,-39,-4,17,-48,-38,-68,-37,-79,-82,-9,-67,-4,-64,-35,-59,19,-35,34,54,-26,-21,-66,-32,-70,-68,-2
-53,-45,-53,9,-35,-1,10,-44,-35,-75,-44,-83,-95,-5,-70,-4,-64,-45,-63,22,-39,34,46,-29,-24,-69,-45,-70,-74,-2
-46,-39,-53,22,-39,10,24,-21,-27,-68,-27,-72,-89,-5,-63,-4,-57,-39,-63,29,-35,38,58,-32,-27,-69,-35,-70,-74,-2
-46,-39,-56,9,-31,17,17,-25,-13,-65,-37,-83,-92,-5,-70,6,-61,-42,-59,22,-39,38,50,-29,-27,-69,-35,-70,-77,-5
-53,-45,-49,15,-39,13,24,-31,-30,-65,-37,-86,-92,-12,-74,-4,-64,-35,-59,29,-39,38,54,-26,-21,-69,-35,-73,-68,-9
-49,-42,-49,15,-35,20,24,-15,-23,-65,-37,-83,-92,-5,-70,6,-64,-35,-63,32,-42,34,35,-32,-22,-69,-41,-77,-80,-5
-46,-42,-46,-1,-31,20,32,-21,-13,-65,-31,-83,-92,-5,-74,0,-67,-45,-66,19,-49,24,28,-39,-31,-80,-45,-73,-83,-9
-53,-39,-53,15,-39,13,28,-21,-13,-65,-31,-83,-92,-9,-74,-4,-64,-42,-63,22,-42,31,39,-36,-24,-76,-38,-77,-77,-9
-46,-32,-46,12,-31,10,24,-28,-20,-68,-37,-86,-89,-12,-74,-4,-64,-42,-59,15,-49,31,46,-32,-31,-76,-42,-66,-80,-9
-46,-39,-53,-5,-35,10,24,-31,-20,-72,-37,-86,-92,-16,-74,0,-63,-45,-56,19,-42,20,24,-36,-34,-69,-48,-80,-77,-9
-49,-29,-56,9,-28,13,21,-21,-21,-79,-44,-86,-95,-19,-74,-4,-63,-42,-66,15,-46,17,24,-42,-34,-76,-45,-84,-83,-17
-46,-39,-43,15,-31,13,24,-35,-28,-72,-41,-83,-92,-19,-74,-7,-63,-49,-63,22,-46,10,16,-45,-38,-80,-45,-80,-83,-13
-33,-29,-43,9,-24,17,24,-25,-24,-65,-44,-83,-79,-23,-70,-7,-63,-39,-63,22,-39,10,16,-39,-34,-80,-48,-77,-83,-24
-46,-32,-43,12,-35,3,13,-41,-45,-82,-54,-86,-85,-30,-70,-14,-60,-42,-69,15,-42,17,24,-42,-41,-90,-48,-77,-86,-20
-36,-32,-43,22,-31,6,13,-44,-42,-82,-51,-86,-89,-33,-77,-17,-54,-39,-56,15,-39,24,24,-42,-42,-87,-48,-80,-80,-12
-39,-32,-46,5,-21,10,10,-38,-35,-75,-54,-79,-82,-26,-74,-11,-56,-32,-56,22,-35,24,17,-39,-39,-80,-48,-77,-80,-17
-43,-32,-43,9,-28,10,11,-31,-42,-68,-47,-72,-82,-16,-60,-7,-50,-42,-56,29,-35,24,24,-36,-35,-76,-38,-73,-74,-20
-33,-25,-36,15,-21,13,29,-24,-28,-61,-41,-69,-70,-12,-57,0,-54,-35,-49,22,-28,20,21,-32,-35,-76,-48,-70,-71,-17
