-150,-177,-223,-254,-321,-386,-362,10,393,429,349,290,239,189,163,147,53,53,47,33,33,26,23,21,24,19,16,16,15,4
-143,-170,-216,-243,-310,-361,-325,18,367,387,323,265,219,172,143,128,39,34,31,11,22,4,15,25,28,30,26,22,15,8
-140,-162,-201,-221,-289,-321,-290,3,303,333,273,223,192,141,119,97,21,12,-6,-4,-6,-10,6,27,37,31,23,22,22,11
-133,-148,-189,-202,-276,-296,-257,14,271,288,227,190,155,110,86,82,0,-6,-14,-30,-30,-28,-3,35,40,36,25,25,18,8
-136,-148,-186,-187,-258,-275,-243,0,242,263,204,166,134,93,69,63,-24,-36,-44,-52,-54,-46,-5,31,46,42,33,28,25,11
-126,-140,-178,-180,-249,-253,-245,-41,209,236,175,144,110,69,52,46,-40,-51,-55,-58,-67,-72,-13,27,41,42,36,32,28,18
-130,-133,-171,-161,-218,-254,-251,-59,180,215,158,122,90,52,28,19,-61,-76,-73,-84,-105,-74,6,46,50,42,36,32,35,22
-126,-129,-163,-157,-210,-236,-234,-40,173,191,135,100,70,35,8,1,-74,-73,-81,-96,-102,-89,-12,31,60,51,39,41,39,18
-126,-129,-163,-158,-207,-232,-229,-62,144,177,116,91,60,14,1,-13,-91,-99,-111,-122,-136,-100,-10,42,63,57,46,47,42,18
-119,-126,-163,-147,-196,-221,-218,-73,125,156,100,84,53,11,-12,-16,-108,-110,-130,-140,-156,-118,2,60,70,63,52,49,49,25
-123,-122,-140,-139,-196,-207,-194,-42,113,136,84,59,33,-3,-26,-28,-119,-121,-134,-140,-163,-128,-4,60,76,72,52,59,49,28
-119,-118,-144,-143,-179,-185,-147,-10,106,100,54,40,17,-29,-42,-50,-122,-124,-145,-155,-179,-136,-24,71,99,84,69,63,59,32
-112,-111,-140,-128,-162,-182,-168,-42,80,97,58,42,20,-19,-45,-46,-125,-128,-160,-148,-185,-150,-17,64,95,84,62,63,62,32
-116,-114,-137,-128,-173,-167,-152,-53,64,82,45,33,17,-36,-51,-54,-129,-139,-160,-159,-196,-154,-26,68,99,90,69,66,59,32
-109,-111,-129,-121,-166,-157,-143,-46,55,71,32,24,4,-47,-58,-65,-139,-150,-175,-174,-199,-168,-18,71,105,96,75,72,69,28
-109,-111,-133,-117,-153,-157,-143,-46,51,65,26,18,-6,-50,-65,-68,-153,-160,-194,-193,-215,-163,-18,83,108,102,72,82,76,33
-105,-107,-129,-113,-157,-160,-140,-38,51,65,23,15,-5,-60,-75,-83,-160,-164,-194,-208,-226,-171,-20,83,115,102,79,88,69,35
-116,-111,-144,-121,-177,-178,-138,-12,67,66,16,6,-26,-67,-89,-90,-163,-164,-213,-200,-229,-178,-19,94,121,111,88,84,79,36
-109,-103,-134,-121,-167,-178,-171,-64,48,68,23,15,-12,-67,-78,-88,-173,-182,-224,-230,-247,-171,11,109,128,114,88,94,83,39
-102,-107,-138,-133,-183,-189,-163,-46,71,78,26,12,-9,-74,-89,-95,-183,-190,-228,-222,-264,-196,-7,104,131,123,88,94,83,39
-105,-107,-141,-129,-188,-200,-181,-49,77,82,29,16,-15,-74,-92,-99,-186,-193,-238,-230,-267,-199,-6,116,140,126,95,103,86,42
-105,-107,-138,-155,-188,-211,-181,-60,77,85,29,16,-19,-84,-95,-106,-186,-197,-235,-245,-271,-210,-16,120,147,135,102,99,89,46
-105,-118,-153,-144,-201,-218,-168,-24,90,90,20,4,-29,-88,-105,-118,-190,-197,-246,-249,-281,-217,-26,116,147,138,108,109,93,46
-105,-114,-149,-155,-222,-221,-176,-9,93,87,24,10,-32,-101,-116,-121,-197,-216,-250,-249,-287,-232,-28,113,153,144,111,114,93,49
-102,-118,-146,-152,-218,-236,-189,-17,103,90,24,7,-29,-98,-119,-125,-200,-219,-261,-271,-301,-257,-72,116,170,153,115,116,93,47
-104,-114,-157,-167,-226,-239,-185,-12,103,87,17,1,-45,-101,-126,-140,-210,-227,-276,-301,-322,-253,-34,135,166,147,121,120,96,49
-104,-111,-154,-162,-233,-247,-189,-23,93,78,10,-8,-48,-121,-146,-152,-231,-245,-291,-286,-332,-264,-23,131,170,156,121,122,100,53
-111,-110,-157,-169,-243,-249,-196,-27,84,69,-6,-21,-58,-124,-153,-163,-255,-275,-321,-342,-362,-296,-56,131,163,162,118,117,96,46
-98,-110,-157,-158,-233,-249,-190,-26,74,57,-9,-33,-75,-138,-166,-174,-255,-264,-321,-331,-362,-292,-53,127,170,154,121,119,103,50
-104,-110,-154,-162,-214,-228,-150,-27,38,30,-39,-55,-92,-159,-183,-189,-265,-271,-329,-356,-373,-303,-62,128,170,157,118,126,110,50
